n,queries,comparisons,total_time_sec,comparisons_per_sec,checksum
50000,10000,500000000,1.468279903,340534525.452808022,64000022354
100000,10000,1000000000,2.918238273,342672498.422132790,128000136576
150000,10000,1500000000,4.478677122,334920325.609486997,192000249028
200000,10000,2000000000,5.977608791,334581949.058164775,256000135012
250000,10000,2500000000,7.662130361,326280013.809856415,319999836426
300000,10000,3000000000,9.482798650,316362300.912083626,383999630624
350000,10000,3500000000,11.499348621,304365065.827149034,447999447062
400000,10000,4000000000,13.475660237,296831467.226907074,511999593138
450000,10000,4500000000,15.671665709,287142418.908011675,575999395598
500000,10000,5000000000,18.020145185,277467242.836756289,639999541252
550000,10000,5500000000,19.930119658,275964223.716654241,703999502088
600000,10000,6000000000,21.964090684,273173157.328601420,767999507278
650000,10000,6500000000,24.037488353,270410947.456112504,831999726416
700000,10000,7000000000,26.528520513,263866957.698215008,895999802794
750000,10000,7500000000,28.053572626,267345628.308638781,960000064822
800000,10000,8000000000,30.838715424,259414177.601381540,1024000153754
850000,10000,8500000000,31.986436701,265737633.718177259,1087999817868
900000,10000,9000000000,33.742944915,266722422.203260720,1152000186762
950000,10000,9500000000,36.510667305,260197928.474975049,1215999957104
1000000,10000,10000000000,38.663412646,258642455.893881649,1279999966772
